user_id,start,end,activity,hr_mean,hr_std,steps_lambda,hrv_mean,hrv_std,spo2_mean,spo2_std,steps_std,skin_mean,skin_std,scl_mean,scl_std
1,2025-04-01 00:00:00,2025-04-01 07:30:00,sleep,53.37,2.08,0.01,76.88,5.22,98.8,0.15,0.05,34.0,0.08,3.8,0.2
1,2025-04-01 07:30:00,2025-04-01 07:35:00,wake_up,65.06,3.31,0.06,70.25,6.19,98.9,0.16,0.05,34.27,0.1,5.4,0.7
1,2025-04-01 07:35:00,2025-04-01 07:45:00,toilet,67.78,3.73,0.3,65.69,4.83,98.9,0.17,0.42,34.33,0.16,4.3,0.3
1,2025-04-01 07:45:00,2025-04-01 07:55:00,shower,73.57,4.84,0.3,62.37,5.25,98.9,0.2,0.28,34.33,0.16,4.3,0.3
1,2025-04-01 07:55:00,2025-04-01 08:00:00,get_ready,71.89,3.72,0.3,65.46,4.55,98.8,0.18,0.64,34.35,0.15,4.1,0.25
1,2025-04-01 08:00:00,2025-04-01 08:20:00,breakfast,74.35,4.25,0.5,61.36,3.81,98.6,0.14,1.35,34.13,0.17,4.6,0.35
1,2025-04-01 08:20:00,2025-04-01 08:30:00,prep_bag_uni,67.98,3.37,0.3,66.17,4.28,98.9,0.14,0.46,34.27,0.15,5.4,0.7
1,2025-04-01 08:30:00,2025-04-01 08:40:00,walk,84.47,5.55,6.33,60.99,5.06,98.7,0.24,4.13,34.65,0.24,5.1,0.6
1,2025-04-01 08:40:00,2025-04-01 09:00:00,bus,67.55,2.24,0.16,66.24,4.02,98.9,0.14,0.2,34.14,0.11,5.1,0.6
1,2025-04-01 09:00:00,2025-04-01 13:00:00,class,63.8,2.96,0.11,69.84,5.33,98.9,0.11,0.05,34.03,0.08,5.6,0.8
1,2025-04-01 13:00:00,2025-04-01 13:45:00,lunch,75.55,4.52,0.5,63.48,3.63,98.7,0.12,1.03,34.27,0.12,4.6,0.35
1,2025-04-01 13:45:00,2025-04-01 14:00:00,walk,86.52,6.1,6.42,57.11,5.03,98.6,0.26,4.1,34.73,0.25,5.1,0.6
1,2025-04-01 14:00:00,2025-04-01 16:00:00,class,61.77,3.07,0.17,72.72,6.33,99.0,0.19,0.05,33.95,0.08,5.6,0.8
1,2025-04-01 16:00:00,2025-04-01 16:30:00,commute_home,67.53,2.45,0.3,65.56,3.91,98.8,0.16,0.57,34.36,0.21,5.1,0.6
1,2025-04-01 16:30:00,2025-04-01 17:30:00,study,64.5,2.6,0.0,69.54,5.67,99.0,0.13,0.22,34.09,0.1,5.6,0.8
1,2025-04-01 17:30:00,2025-04-01 17:45:00,prep_football,77.81,3.59,0.3,60.03,3.98,98.9,0.15,1.1,34.26,0.13,7.5,1.1
1,2025-04-01 17:45:00,2025-04-01 18:00:00,walk,84.84,5.71,7.23,58.36,5.34,98.5,0.28,4.18,34.59,0.25,5.1,0.6
1,2025-04-01 18:00:00,2025-04-01 19:30:00,football,135.21,10.18,9.15,49.55,5.99,98.3,0.35,5.53,34.89,0.36,7.5,1.1
1,2025-04-01 19:30:00,2025-04-01 19:45:00,shower,72.57,5.09,0.3,66.21,5.17,98.9,0.21,0.21,34.29,0.18,4.3,0.3
